biomarkers,n_tests,coverage,worst_case_sensitivity,cost_eur,time_min,sample_ul,pathologies_covered,pathologies_uncovered,pareto_optimal
"Copeptin, Myoglobin, hs-cTnI",3,0.16666666666666666,0.3,34.0,20.0,80.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, Procalcitonin, hs-cTnI",3,0.16666666666666666,0.3,48.5,20.0,90.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Myoglobin, hs-cTnI",3,0.16666666666666666,0.1,24.5,15.0,40.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Procalcitonin, hs-cTnI",3,0.16666666666666666,0.1,39.0,20.0,50.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Myoglobin, Procalcitonin, hs-cTnI",3,0.16666666666666666,0.1,37.5,20.0,50.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, D-dimer, NT-proBNP",3,0.6666666666666666,0.2,26.0,15.0,35.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"Copeptin, D-dimer, NT-proBNP",3,0.5,0.3,38.5,20.0,80.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, NT-proBNP",3,0.5,0.2,29.0,15.0,40.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, Myoglobin, NT-proBNP",3,0.5,0.2,27.5,15.0,40.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, NT-proBNP, Procalcitonin",3,0.5,0.2,42.0,20.0,50.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer",3,0.5,0.3,29.5,20.0,70.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP",3,0.5,0.15,20.0,15.0,30.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, Myoglobin",3,0.5,0.15,18.5,10.0,30.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, Procalcitonin",3,0.5,0.15,33.0,20.0,40.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP",3,0.3333333333333333,0.3,32.5,20.0,75.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Myoglobin",3,0.3333333333333333,0.3,31.0,20.0,75.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Procalcitonin",3,0.3333333333333333,0.3,45.5,20.0,85.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Myoglobin",3,0.3333333333333333,0.15,21.5,15.0,35.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Procalcitonin",3,0.3333333333333333,0.15,36.0,20.0,45.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, Myoglobin, Procalcitonin",3,0.3333333333333333,0.15,34.5,20.0,45.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, NT-proBNP",3,0.3333333333333333,0.3,36.5,20.0,70.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, NT-proBNP",3,0.3333333333333333,0.2,27.0,15.0,30.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Myoglobin, NT-proBNP",3,0.3333333333333333,0.2,25.5,15.0,30.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, NT-proBNP, Procalcitonin",3,0.3333333333333333,0.2,40.0,20.0,40.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, NT-proBNP",3,0.16666666666666666,0.3,39.5,20.0,75.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, Myoglobin, NT-proBNP",3,0.16666666666666666,0.3,38.0,20.0,75.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, NT-proBNP, Procalcitonin",3,0.16666666666666666,0.3,52.5,20.0,85.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Myoglobin, NT-proBNP",3,0.16666666666666666,0.2,28.5,15.0,35.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, NT-proBNP, Procalcitonin",3,0.16666666666666666,0.2,43.0,20.0,45.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Myoglobin, NT-proBNP, Procalcitonin",3,0.16666666666666666,0.2,41.5,20.0,45.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP",3,0.16666666666666666,0.3,30.5,20.0,65.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Myoglobin",3,0.16666666666666666,0.3,29.0,20.0,65.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Procalcitonin",3,0.16666666666666666,0.3,43.5,20.0,75.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Myoglobin",3,0.16666666666666666,0.15,19.5,15.0,25.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Procalcitonin",3,0.16666666666666666,0.15,34.0,20.0,35.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Myoglobin, Procalcitonin",3,0.16666666666666666,0.15,32.5,20.0,35.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
